"","movie","type","word","minutes_in","group","year"
"1","Django Unchained","word","goddamn",7.23,"PG-13","2012"
"2","Django Unchained","word","goddamn",8.37,"PG-13","2012"
"3","Django Unchained","word","bitch",8.38,"Female Slur","2012"
"4","Django Unchained","word","damn",8.65,"PG-13","2012"
"5","Django Unchained","word","fucking",8.87,"Fucks","2012"
"6","Django Unchained","word","damn",8.88,"PG-13","2012"
"7","Django Unchained","word","n-word",9.8,"Racial Slur","2012"
"8","Django Unchained","word","goddamn",10.07,"PG-13","2012"
"9","Django Unchained","word","hell",10.53,"PG-13","2012"
"10","Django Unchained","word","n-word",13.57,"Racial Slur","2012"
"11","Django Unchained","word","n-word",14.07,"Racial Slur","2012"
"12","Django Unchained","word","hell",14.75,"PG-13","2012"
"13","Django Unchained","word","n-word",14.78,"Racial Slur","2012"
"14","Django Unchained","word","ass",19.37,"PG-13","2012"
"15","Django Unchained","word","goddamn",20.25,"PG-13","2012"
"16","Django Unchained","word","n-word",20.47,"Racial Slur","2012"
"17","Django Unchained","word","hell",22.67,"PG-13","2012"
"18","Django Unchained","word","n-word",24.98,"Racial Slur","2012"
"19","Django Unchained","word","n-word",28.55,"Racial Slur","2012"
"20","Django Unchained","word","n-word",28.65,"Racial Slur","2012"
"21","Django Unchained","word","n-word",28.8,"Racial Slur","2012"
"22","Django Unchained","word","n-word",29.38,"Racial Slur","2012"
"23","Django Unchained","word","n-word",29.5,"Racial Slur","2012"
"24","Django Unchained","word","n-word",29.65,"Racial Slur","2012"
"25","Django Unchained","word","n-word",31.07,"Racial Slur","2012"
"26","Django Unchained","word","n-word",31.1,"Racial Slur","2012"
"27","Django Unchained","word","damn",33.12,"PG-13","2012"
"28","Django Unchained","word","goddamn",36.55,"PG-13","2012"
"29","Django Unchained","word","bitch",36.57,"Female Slur","2012"
"30","Django Unchained","word","bitches",40.92,"Female Slur","2012"
"31","Django Unchained","word","n-word",41.68,"Racial Slur","2012"
"32","Django Unchained","word","n-word",42.02,"Racial Slur","2012"
"33","Django Unchained","word","fucking",42.23,"Fucks","2012"
"34","Django Unchained","word","shit",42.23,"Shits","2012"
"35","Django Unchained","word","fucking",42.33,"Fucks","2012"
"36","Django Unchained","word","shit",42.38,"Shits","2012"
"37","Django Unchained","word","goddamn",42.45,"PG-13","2012"
"38","Django Unchained","word","shit",42.47,"Shits","2012"
"39","Django Unchained","word","goddamn",42.5,"PG-13","2012"
"40","Django Unchained","word","shit",43.12,"Shits","2012"
"41","Django Unchained","word","fucking",43.22,"Fucks","2012"
"42","Django Unchained","word","fucking",43.25,"Fucks","2012"
"43","Django Unchained","word","fucking",43.27,"Fucks","2012"
"44","Django Unchained","word","fuck",43.28,"Fucks","2012"
"45","Django Unchained","word","bitches",43.42,"Female Slur","2012"
"46","Django Unchained","word","n-word",43.65,"Racial Slur","2012"
"47","Django Unchained","word","goddamn",44.3,"PG-13","2012"
"48","Django Unchained","word","fucking",44.42,"Fucks","2012"
"49","Django Unchained","word","shit",44.55,"Shits","2012"
"50","Django Unchained","word","n-word",44.58,"Racial Slur","2012"
"51","Django Unchained","word","n-word",44.63,"Racial Slur","2012"
"52","Django Unchained","word","n-word",44.67,"Racial Slur","2012"
"53","Django Unchained","word","shit",45.5,"Shits","2012"
"54","Django Unchained","word","hell",47.65,"PG-13","2012"
"55","Django Unchained","word","hell",48.3,"PG-13","2012"
"56","Django Unchained","word","damn",53.08,"PG-13","2012"
"57","Django Unchained","word","n-word",59.42,"Racial Slur","2012"
"58","Django Unchained","word","goddamned",59.65,"PG-13","2012"
"59","Django Unchained","word","n-word",59.75,"Racial Slur","2012"
"60","Django Unchained","word","fuck",60.5,"Fucks","2012"
"61","Django Unchained","word","fucking",62.22,"Fucks","2012"
"62","Django Unchained","word","n-word",63.2,"Racial Slur","2012"
"63","Django Unchained","word","n-word",64.78,"Racial Slur","2012"
"64","Django Unchained","word","n-word",70.1,"Racial Slur","2012"
"65","Django Unchained","word","n-word",71.17,"Racial Slur","2012"
"66","Django Unchained","word","n-word",71.2,"Racial Slur","2012"
"67","Django Unchained","word","n-word",71.23,"Racial Slur","2012"
"68","Django Unchained","word","n-word",71.28,"Racial Slur","2012"
"69","Django Unchained","word","n-word",71.35,"Racial Slur","2012"
"70","Django Unchained","word","n-word",71.87,"Racial Slur","2012"
"71","Django Unchained","word","n-word",73.17,"Racial Slur","2012"
"72","Django Unchained","word","n-word",73.23,"Racial Slur","2012"
"73","Django Unchained","word","n-word",73.32,"Racial Slur","2012"
"74","Django Unchained","word","n-word",73.73,"Racial Slur","2012"
"75","Django Unchained","word","n-word",74,"Racial Slur","2012"
"76","Django Unchained","word","n-word",74.4,"Racial Slur","2012"
"77","Django Unchained","word","goddamn",74.77,"PG-13","2012"
"78","Django Unchained","word","n-word",74.83,"Racial Slur","2012"
"79","Django Unchained","word","hell",75.67,"PG-13","2012"
"80","Django Unchained","word","goddamn",76.2,"PG-13","2012"
"81","Django Unchained","word","n-word",76.3,"Racial Slur","2012"
"82","Django Unchained","word","n-word",76.37,"Racial Slur","2012"
"83","Django Unchained","word","ass",76.45,"PG-13","2012"
"84","Django Unchained","word","goddamn",76.45,"PG-13","2012"
"85","Django Unchained","word","hell",76.92,"PG-13","2012"
"86","Django Unchained","word","n-word",78.48,"Racial Slur","2012"
"87","Django Unchained","word","ass",79.57,"PG-13","2012"
"88","Django Unchained","word","goddamn",79.63,"PG-13","2012"
"89","Django Unchained","word","goddamn",79.77,"PG-13","2012"
"90","Django Unchained","word","n-word",79.8,"Racial Slur","2012"
"91","Django Unchained","word","n-word",81.32,"Racial Slur","2012"
"92","Django Unchained","word","goddamn",81.68,"PG-13","2012"
"93","Django Unchained","word","n-word",82.98,"Racial Slur","2012"
"94","Django Unchained","word","n-word",83.47,"Racial Slur","2012"
"95","Django Unchained","word","n-word",83.52,"Racial Slur","2012"
"96","Django Unchained","word","n-word",83.68,"Racial Slur","2012"
"97","Django Unchained","word","n-word",84.47,"Racial Slur","2012"
"98","Django Unchained","word","ass",88.32,"PG-13","2012"
"99","Django Unchained","word","n-word",88.35,"Racial Slur","2012"
"100","Django Unchained","word","n-word",88.75,"Racial Slur","2012"
"101","Django Unchained","word","ass",88.97,"PG-13","2012"
"102","Django Unchained","word","n-word",89.13,"Racial Slur","2012"
"103","Django Unchained","word","n-word",89.13,"Racial Slur","2012"
"104","Django Unchained","word","n-word",89.35,"Racial Slur","2012"
"105","Django Unchained","word","bastard",89.52,"PG-13","2012"
"106","Django Unchained","word","n-word",89.62,"Racial Slur","2012"
"107","Django Unchained","word","ass",90.03,"PG-13","2012"
"108","Django Unchained","word","motherfucker",90.03,"Fucks","2012"
"109","Django Unchained","word","goddamn",90.17,"PG-13","2012"
"110","Django Unchained","word","n-word",90.32,"Racial Slur","2012"
"111","Django Unchained","word","goddamn",90.37,"PG-13","2012"
"112","Django Unchained","word","n-word",90.42,"Racial Slur","2012"
"113","Django Unchained","word","shit",90.43,"Shits","2012"
"114","Django Unchained","word","ass",90.88,"PG-13","2012"
"115","Django Unchained","word","n-word",91,"Racial Slur","2012"
"116","Django Unchained","word","n-word",91.02,"Racial Slur","2012"
"117","Django Unchained","word","n-word",91.17,"Racial Slur","2012"
"118","Django Unchained","word","n-word",91.18,"Racial Slur","2012"
"119","Django Unchained","word","ass",92.12,"PG-13","2012"
"120","Django Unchained","word","damn",92.23,"PG-13","2012"
"121","Django Unchained","word","damn",92.25,"PG-13","2012"
"122","Django Unchained","word","shit",92.27,"Shits","2012"
"123","Django Unchained","word","damn",92.33,"PG-13","2012"
"124","Django Unchained","word","bitch",92.37,"Female Slur","2012"
"125","Django Unchained","word","n-word",92.53,"Racial Slur","2012"
"126","Django Unchained","word","n-word",92.67,"Racial Slur","2012"
"127","Django Unchained","word","ass",92.78,"PG-13","2012"
"128","Django Unchained","word","ass",93.22,"PG-13","2012"
"129","Django Unchained","word","n-word",96.73,"Racial Slur","2012"
"130","Django Unchained","word","ass",101.02,"PG-13","2012"
"131","Django Unchained","word","n-word",101.48,"Racial Slur","2012"
"132","Django Unchained","word","n-word",101.97,"Racial Slur","2012"
"133","Django Unchained","word","n-word",102.07,"Racial Slur","2012"
"134","Django Unchained","word","n-word",102.32,"Racial Slur","2012"
"135","Django Unchained","word","n-word",102.6,"Racial Slur","2012"
"136","Django Unchained","word","n-word",102.78,"Racial Slur","2012"
"137","Django Unchained","word","n-word",102.83,"Racial Slur","2012"
"138","Django Unchained","word","n-word",103.02,"Racial Slur","2012"
"139","Django Unchained","word","n-word",103.15,"Racial Slur","2012"
"140","Django Unchained","word","n-word",103.2,"Racial Slur","2012"
"141","Django Unchained","word","hell",103.83,"PG-13","2012"
"142","Django Unchained","word","n-word",104.23,"Racial Slur","2012"
"143","Django Unchained","word","n-word",104.27,"Racial Slur","2012"
"144","Django Unchained","word","ass",104.35,"PG-13","2012"
"145","Django Unchained","word","n-word",104.9,"Racial Slur","2012"
"146","Django Unchained","word","bitch",104.97,"Female Slur","2012"
